scope,year,variant,n,mae_000s,bias_000s,aggregate_under_pct,median_ape_pct,mape_pct,underpredicted_pct
nonmarquee,2021,broad_to_marquee,162,600.9257306015643,-242.12798836285012,9.6949101969104,22.88627047823957,24.937488390941553,56.79012345679012
nonmarquee,2022,broad_to_marquee,151,541.0085429198463,-209.3600370419364,8.025835715947737,15.207855077513665,19.99785467836985,55.62913907284768
nonmarquee,2023,broad_to_marquee,179,740.9400622654022,-349.40676197852616,12.802895807103631,19.993804781688546,23.947065081342615,57.54189944134078
nonmarquee,2024,broad_to_marquee,180,521.0636854176503,15.897470018981716,-0.6833196671729214,20.361331855536555,24.40242639154594,46.111111111111114
nonmarquee,2025,broad_to_marquee,161,618.8364360609357,-295.68319918443,11.834678699488688,21.403009067168107,24.775416059729174,65.83850931677019
nonmarquee,2021,current,162,600.9257306015643,-242.12798836285012,9.6949101969104,22.88627047823957,24.937488390941553,56.79012345679012
nonmarquee,2022,current,151,541.0085429198463,-209.3600370419364,8.025835715947737,15.207855077513665,19.99785467836985,55.62913907284768
nonmarquee,2023,current,179,740.9400622654022,-349.40676197852616,12.802895807103631,19.993804781688546,23.947065081342615,57.54189944134078
nonmarquee,2024,current,180,521.0636854176503,15.897470018981716,-0.6833196671729214,20.361331855536555,24.40242639154594,46.111111111111114
nonmarquee,2025,current,161,618.8364360609357,-295.68319918443,11.834678699488688,21.403009067168107,24.775416059729174,65.83850931677019
nonmarquee,2021,hybrid_mean,162,600.9257306015643,-242.12798836285012,9.6949101969104,22.88627047823957,24.937488390941553,56.79012345679012
nonmarquee,2022,hybrid_mean,151,544.646112681209,-188.53044164783276,7.22733131642258,15.207855077513665,20.188066577631037,54.966887417218544
nonmarquee,2023,hybrid_mean,179,738.5668660193431,-335.7758888480504,12.303435958470088,20.18537191384638,23.980903083928265,57.54189944134078
nonmarquee,2024,hybrid_mean,180,526.0182309867715,26.27094971926687,-1.1292021055584023,20.361331855536555,24.60270468251588,46.111111111111114
nonmarquee,2025,hybrid_mean,161,606.4020444560449,-280.9804775073393,11.246204320368324,20.595922520554357,24.54559745744847,65.21739130434783
nonmarquee,2021,marquee_mean,162,600.9257306015643,-242.12798836285012,9.6949101969104,22.88627047823957,24.937488390941553,56.79012345679012
nonmarquee,2022,marquee_mean,151,541.0085429198463,-209.3600370419364,8.025835715947737,15.207855077513665,19.99785467836985,55.62913907284768
nonmarquee,2023,marquee_mean,179,740.9400622654022,-349.40676197852616,12.802895807103631,19.993804781688546,23.947065081342615,57.54189944134078
nonmarquee,2024,marquee_mean,180,521.0636854176503,15.897470018981716,-0.6833196671729214,20.361331855536555,24.40242639154594,46.111111111111114
nonmarquee,2025,marquee_mean,161,618.8364360609357,-295.68319918443,11.834678699488688,21.403009067168107,24.775416059729174,65.83850931677019
nonmarquee,2021,marquee_median,162,600.9257306015643,-242.12798836285012,9.6949101969104,22.88627047823957,24.937488390941553,56.79012345679012
nonmarquee,2022,marquee_median,151,541.0085429198463,-209.3600370419364,8.025835715947737,15.207855077513665,19.99785467836985,55.62913907284768
nonmarquee,2023,marquee_median,179,740.9400622654022,-349.40676197852616,12.802895807103631,19.993804781688546,23.947065081342615,57.54189944134078
nonmarquee,2024,marquee_median,180,521.0636854176503,15.897470018981716,-0.6833196671729214,20.361331855536555,24.40242639154594,46.111111111111114
nonmarquee,2025,marquee_median,161,618.8364360609357,-295.68319918443,11.834678699488688,21.403009067168107,24.775416059729174,65.83850931677019
nonmarquee,2021,past_selected,162,600.9257306015643,-242.12798836285012,9.6949101969104,22.88627047823957,24.937488390941553,56.79012345679012
nonmarquee,2022,past_selected,151,541.0085429198463,-209.3600370419364,8.025835715947737,15.207855077513665,19.99785467836985,55.62913907284768
nonmarquee,2023,past_selected,179,740.9400622654022,-349.40676197852616,12.802895807103631,19.993804781688546,23.947065081342615,57.54189944134078
nonmarquee,2024,past_selected,180,528.1815757195184,30.243141710955943,-1.2999385124500273,20.361331855536555,24.72487917347272,46.111111111111114
nonmarquee,2025,past_selected,161,605.4647015396079,-269.2243223332451,10.775665853487249,20.595922520554357,24.697503586204654,64.59627329192547
nonmarquee,2021,ranked_mean,162,600.9257306015643,-242.12798836285012,9.6949101969104,22.88627047823957,24.937488390941553,56.79012345679012
nonmarquee,2022,ranked_mean,151,543.5972384637823,-180.82602065298977,6.931981649577034,15.122520364910164,20.173180441005996,54.3046357615894
nonmarquee,2023,ranked_mean,179,738.7062239067965,-330.4056017886945,12.106658926205927,20.18537191384638,24.07087947508918,57.54189944134078
nonmarquee,2024,ranked_mean,180,528.1815757195184,30.243141710955943,-1.2999385124500273,20.361331855536555,24.72487917347272,46.111111111111114
nonmarquee,2025,ranked_mean,161,605.4647015396079,-269.2243223332451,10.775665853487249,20.595922520554357,24.697503586204654,64.59627329192547
