scope,variant,year,n,mae_000s,mape_pct,median_ape_pct,within20_pct,within30_pct,over50_pct,bias_000s
week1_major,interest_momentum,2024,17,523.9255952386044,17.154672323382385,12.667072582212207,64.70588235294117,82.35294117647058,0.0,-284.308445661104
week1_major,interest_momentum,2025,16,1100.2643660416766,25.432944011794312,18.524509486772622,56.25,68.75,18.75,-865.2098481469934
week1_major,past_selected,2021,17,672.986591655507,22.222425729477013,19.47472495281779,52.94117647058824,82.35294117647058,5.88235294117647,-495.25490848069484
week1_major,past_selected,2022,14,1082.9835577839262,33.625378485250536,33.86452705900577,21.428571428571427,35.714285714285715,21.428571428571427,113.66473177176815
week1_major,past_selected,2023,10,909.5878724538888,26.669258153195166,15.103534681599953,60.0,70.0,30.0,-326.9748740648391
week1_major,past_selected,2024,17,515.5555758058177,16.536661298269166,12.335635458055902,76.47058823529412,82.35294117647058,0.0,-219.63079688484035
week1_major,past_selected,2025,16,1003.889226038561,23.697764817173642,16.05227461436414,62.5,68.75,18.75,-838.9427865230298
later_major,current,2021,167,826.5838024202803,27.835572508079512,20.70313160940546,47.30538922155689,67.06586826347305,15.568862275449103,1.274485516396796
later_major,current,2022,165,700.3523307854165,19.94118272701889,15.842053000239828,57.57575757575758,74.54545454545455,6.666666666666667,-195.21485464898757
later_major,current,2023,191,796.3204940973652,22.72977177936003,19.078191345543512,51.832460732984295,72.25130890052355,7.853403141361256,-365.71992477371805
later_major,current,2024,198,683.8124899079355,24.969070137350922,19.566587689291147,50.505050505050505,68.18181818181817,13.636363636363635,-23.766554832567774
later_major,current,2025,186,784.6393985116584,23.54973416150185,19.893492984794577,50.0,73.65591397849462,8.064516129032258,-332.135143855169
later_major,interest_level,2021,167,760.0439895479799,25.15549667114836,22.868191031585027,46.706586826347305,71.25748502994011,11.976047904191617,-242.8397292749726
later_major,interest_level,2022,165,686.4494587282593,19.50446605960698,15.09855021167926,64.24242424242425,77.57575757575758,5.454545454545454,-211.25390667668086
later_major,interest_level,2023,191,779.0628680484174,22.707599077275813,19.929181437059288,51.832460732984295,73.82198952879581,6.806282722513089,-347.01573683458
later_major,interest_level,2024,198,673.4047662396127,24.14799220813296,19.680317148817018,50.505050505050505,69.6969696969697,11.616161616161616,-41.64811445762072
later_major,interest_level,2025,186,772.2471453482842,23.267963783980694,19.465141810349852,51.61290322580645,72.58064516129032,6.989247311827956,-314.71381553899846
later_major,interest_level_momentum,2021,167,758.3062828353105,24.928169320292376,22.07991896722477,44.91017964071856,72.45508982035929,12.574850299401197,-249.78235261060274
later_major,interest_level_momentum,2022,165,680.3523126210316,19.63736467913088,14.859220011479296,65.45454545454545,75.75757575757575,5.454545454545454,-169.48189862988497
later_major,interest_level_momentum,2023,191,780.9536063642157,22.847010165242967,18.943600485100113,52.879581151832454,72.25130890052355,7.329842931937172,-334.7408511408463
later_major,interest_level_momentum,2024,198,665.3804670223017,23.872836155994623,19.07014082271028,51.010101010101,69.1919191919192,10.1010101010101,-32.87589833531287
later_major,interest_level_momentum,2025,186,775.1244770052153,23.518315511536045,20.253092363346376,48.924731182795696,72.04301075268818,7.526881720430108,-322.53489352491096
later_major,interest_momentum,2021,167,838.8166031117682,28.736305901378383,22.894796782359773,46.10778443113773,67.06586826347305,16.16766467065868,37.87605967165159
later_major,interest_momentum,2022,165,691.0287680144427,20.022674410397073,16.216631631267763,59.3939393939394,77.57575757575758,6.0606060606060606,-185.84995706885434
later_major,interest_momentum,2023,191,800.8334765048405,22.831741578982037,19.378575329724658,53.403141361256544,71.72774869109948,7.853403141361256,-361.7065910043463
later_major,interest_momentum,2024,198,676.485268876548,24.428937955180523,18.05510055449163,53.535353535353536,67.17171717171718,12.626262626262626,-28.44617817558911
later_major,interest_momentum,2025,186,794.3248524008382,23.74883025428005,20.026649885800566,50.0,70.96774193548387,9.13978494623656,-357.2518376827336
later_major,past_selected,2021,167,760.0439895479799,25.15549667114836,22.868191031585027,46.706586826347305,71.25748502994011,11.976047904191617,-242.8397292749726
later_major,past_selected,2022,165,686.4494587282593,19.50446605960698,15.09855021167926,64.24242424242425,77.57575757575758,5.454545454545454,-211.25390667668086
later_major,past_selected,2023,191,779.0628680484174,22.707599077275813,19.929181437059288,51.832460732984295,73.82198952879581,6.806282722513089,-347.01573683458
later_major,past_selected,2024,198,673.4047662396127,24.14799220813296,19.680317148817018,50.505050505050505,69.6969696969697,11.616161616161616,-41.64811445762072
later_major,past_selected,2025,186,772.2471453482842,23.267963783980694,19.465141810349852,51.61290322580645,72.58064516129032,6.989247311827956,-314.71381553899846
complete_history_major,current,2021,186,823.0771155473833,28.197583137692934,20.757813314232763,47.31182795698925,67.74193548387096,16.129032258064516,12.275822424294795
complete_history_major,current,2022,180,724.7851878292736,20.90107589603903,16.641669538090134,55.00000000000001,72.77777777777777,7.222222222222221,-174.37352800373034
complete_history_major,current,2023,202,806.0405443516229,22.957316544679962,19.350002729863448,50.99009900990099,72.77227722772277,8.415841584158416,-376.1617902068301
complete_history_major,current,2024,216,674.7808179186345,24.40284840336162,18.981012923753987,51.388888888888886,68.51851851851852,12.5,-49.52214768980149
complete_history_major,current,2025,203,804.8720188163306,23.562483701531146,19.755819218115814,50.24630541871922,73.39901477832512,8.866995073891626,-376.0869807494452
complete_history_major,interest_level,2021,186,752.3620537781727,24.88355639395994,22.860224509814255,47.31182795698925,72.04301075268818,11.29032258064516,-254.85131474735698
complete_history_major,interest_level,2022,180,717.7990006606741,20.59217506274137,15.470704002292846,61.111111111111114,74.44444444444444,6.666666666666667,-189.13043320350653
complete_history_major,interest_level,2023,202,787.9593136029359,22.968036129490006,19.848644383940016,51.98019801980198,73.26732673267327,7.920792079207921,-350.59727377257235
complete_history_major,interest_level,2024,216,667.3858946864186,23.6279788412233,18.771831953821632,52.31481481481482,70.37037037037037,10.648148148148149,-64.98525443414532
complete_history_major,interest_level,2025,203,787.0835014487036,23.195788015638332,19.23311653853274,52.70935960591133,72.41379310344827,7.8817733990147785,-354.86506609512884
complete_history_major,interest_level_momentum,2021,186,752.557974933073,24.71858541991396,21.96597959739548,45.16129032258064,72.04301075268818,11.827956989247312,-262.30793420532734
