holdout_year,variant,feature,branch,component,coefficient,multiplier
2022,stronger_only,Competing_Games_Score,week1,0,-0.0337169996681094,0.96684508340373
2022,stronger_only,StrongerCompetition,week1,1,0.011195881331779,1.0112587897637533
2022,stronger_only,Competing_Games_Score,week1,1,-0.0352026131964751,0.9654097916763748
2023,own_strength,SlateOwnLogAudience,regular,0,-0.3239947500369123,0.7232540394268853
2023,own_strength,Competing_Games_Score,regular,0,-0.0291223739719458,0.9712975956488076
2023,own_strength,SlateOwnLogAudience,regular,1,-0.3093437458817994,0.7339284417809527
2023,own_strength,Competing_Games_Score,regular,1,-0.0273345458753715,0.9730356619994184
2023,own_strength,SlateOwnLogAudience,week1,0,-0.3223210031944624,0.7244655972293472
2023,own_strength,Competing_Games_Score,week1,0,-0.0292663599107342,0.9711577525206188
2023,own_strength,SlateOwnLogAudience,week1,1,-0.3079070423427599,0.734983637190647
2023,own_strength,Competing_Games_Score,week1,1,-0.0275230310533727,0.9728522764827338
2023,leader,SlateOwnLogAudience,regular,0,-0.3179132602135404,0.7276659032623346
2023,leader,SlateLeader,regular,0,0.0924550335875373,1.0968638184204955
2023,leader,CompetitionXLeader,regular,0,-0.0220952312558479,0.9781470804407908
2023,leader,Competing_Games_Score,regular,0,-0.0283609815977662,0.9720374158421796
2023,leader,SlateOwnLogAudience,regular,1,-0.3033244467101324,0.738359499193918
2023,leader,SlateLeader,regular,1,0.0631067150715508,1.0651404997111928
2023,leader,CompetitionXLeader,regular,1,-0.0169898800666542,0.983153634033811
2023,leader,Competing_Games_Score,regular,1,-0.0267307285702333,0.973623375188491
2023,leader,SlateOwnLogAudience,week1,0,-0.316550511972111,0.7286582046672853
2023,leader,SlateLeader,week1,0,0.0868928166659062,1.090779760041026
2023,leader,CompetitionXLeader,week1,0,-0.0211154042634385,0.9791059650465472
2023,leader,Competing_Games_Score,week1,0,-0.028501394955535,0.9719009383865974
2023,leader,SlateOwnLogAudience,week1,1,-0.3020392220129671,0.7393090671310426
2023,leader,SlateLeader,week1,1,0.0530646173372328,1.0544977817567032
2023,leader,CompetitionXLeader,week1,1,-0.0155701968170787,0.9845503920221708
2023,leader,Competing_Games_Score,week1,1,-0.0270590588782485,0.9733037575987664
2023,share,SlateOwnLogAudience,regular,0,-0.3073503800493468,0.7353928887646386
2023,share,SlateAudienceShare,regular,0,0.2592265909428022,1.2959274169770814
2023,share,CompetitionXShare,regular,0,-0.0495094294983035,0.9516961840765984
2023,share,Competing_Games_Score,regular,0,-0.0209352188143081,0.9792824015897768
2023,share,SlateOwnLogAudience,regular,1,-0.2657612647075147,0.7666221254134562
2023,share,SlateAudienceShare,regular,1,0.155326018928993,1.1680387017639933
2023,share,CompetitionXShare,regular,1,-0.073644049248508,0.9290023140673674
2023,share,Competing_Games_Score,regular,1,-0.0204223650631988,0.9797847590497706
2023,share,SlateOwnLogAudience,week1,0,-0.3089003920386796,0.7342539039183048
2023,share,SlateAudienceShare,week1,0,0.260116790190634,1.2970815642232068
2023,share,CompetitionXShare,week1,0,-0.0457074088988193,0.9553214398544506
2023,share,Competing_Games_Score,week1,0,-0.0212330738852321,0.9789907607960976
2023,share,SlateOwnLogAudience,week1,1,-0.2700784569393265,0.7633196042676094
2023,share,SlateAudienceShare,week1,1,0.1617608019522272,1.1755790114829772
2023,share,CompetitionXShare,week1,1,-0.067614191658732,0.9346209886012165
2023,share,Competing_Games_Score,week1,1,-0.0207895067927651,0.9794251052047376
2023,stronger,SlateOwnLogAudience,regular,0,-0.3150681543018606,0.7297391377127247
2023,stronger,StrongerCompetition,regular,0,0.0083560156528456,1.0083910245954597
2023,stronger,Competing_Games_Score,regular,0,-0.0371094765078186,0.9635706412257568
2023,stronger,SlateOwnLogAudience,regular,1,-0.2980488427635955,0.7422650845843288
2023,stronger,StrongerCompetition,regular,1,0.0099531914906109,1.0100028892479498
2023,stronger,Competing_Games_Score,regular,1,-0.0367792585892596,0.9638888820588076
2023,stronger,SlateOwnLogAudience,week1,0,-0.314655947421505,0.7300400032113088
2023,stronger,StrongerCompetition,week1,0,0.0072467458643546,1.00727306706978
2023,stronger,Competing_Games_Score,week1,0,-0.0361765500967296,0.964470001179003
2023,stronger,SlateOwnLogAudience,week1,1,-0.2979107862319003,0.7423675662014705
2023,stronger,StrongerCompetition,week1,1,0.0088945223726469,1.0089341961760387
2023,stronger,Competing_Games_Score,week1,1,-0.0359625900891008,0.964676381265568
2023,leader_only,SlateLeader,regular,0,0.0849961440672368,1.0887128686866852
2023,leader_only,CompetitionXLeader,regular,0,-0.0241895412903973,0.9761006808405492
2023,leader_only,Competing_Games_Score,regular,0,-0.0290341794614344,0.971383262542436
2023,leader_only,SlateLeader,regular,1,0.0566654095423296,1.0583016535154448
2023,leader_only,CompetitionXLeader,regular,1,-0.0190563385642965,0.9811240855633389
2023,leader_only,Competing_Games_Score,regular,1,-0.0273324629710092,0.9730376887417544
2023,leader_only,SlateLeader,week1,0,0.0789441623147375,1.0821438959730316
2023,leader_only,CompetitionXLeader,week1,0,-0.0231197427145511,0.9771454707165114
2023,leader_only,Competing_Games_Score,week1,0,-0.0291980426630098,0.971224101611745
2023,leader_only,SlateLeader,week1,1,0.0459128836661832,1.0469831976461634
2023,leader_only,CompetitionXLeader,week1,1,-0.0175264797539052,0.982626215620202
2023,leader_only,Competing_Games_Score,week1,1,-0.0276801445856864,0.9726994402317922
2023,share_only,SlateAudienceShare,regular,0,0.152155977049943,1.1643418328735224
2023,share_only,CompetitionXShare,regular,0,-0.1204332963680903,0.8865362205588871
2023,share_only,Competing_Games_Score,regular,0,-0.0203293242065545,0.979875923304014
2023,share_only,SlateAudienceShare,regular,1,0.0548950972017445,1.056429786421743
2023,share_only,CompetitionXShare,regular,1,-0.1409331703742382,0.868547354452813
2023,share_only,Competing_Games_Score,regular,1,-0.019494400091571,0.9806943869720532
2023,share_only,SlateAudienceShare,week1,0,0.149742748204728,1.1615353972244522
2023,share_only,CompetitionXShare,week1,0,-0.1189216507388239,0.8878773625722287
2023,share_only,Competing_Games_Score,week1,0,-0.0204639222706795,0.9797440427772854
2023,share_only,SlateAudienceShare,week1,1,0.0584776330625764,1.0602212715265562
2023,share_only,CompetitionXShare,week1,1,-0.1366991257796014,0.8722326189657479
2023,share_only,Competing_Games_Score,week1,1,-0.0198017147111359,0.9803930515543728
2023,stronger_only,StrongerCompetition,regular,0,0.0144555055666182,1.0145604916528856
2023,stronger_only,Competing_Games_Score,regular,0,-0.043303536164317,0.9576206734416708
2023,stronger_only,StrongerCompetition,regular,1,0.0159839151455438,1.0161123412555284
2023,stronger_only,Competing_Games_Score,regular,1,-0.0428560895338681,0.958049253461443
2023,stronger_only,StrongerCompetition,week1,0,0.0133300927703687,1.0134193345498583
2023,stronger_only,Competing_Games_Score,week1,0,-0.0423566072804366,0.958527901589632
2023,stronger_only,StrongerCompetition,week1,1,0.0149063092554819,1.0150179623720947
2023,stronger_only,Competing_Games_Score,week1,1,-0.0420288414140606,0.958842125810916
2024,own_strength,SlateOwnLogAudience,regular,0,-0.2756425985000955,0.7590841801104172
2024,own_strength,Competing_Games_Score,regular,0,-0.0299340823513252,0.970509505144652
2024,own_strength,SlateOwnLogAudience,regular,1,-0.2529305306834359,0.776521824390477
2024,own_strength,Competing_Games_Score,regular,1,-0.0290080976222128,0.9714085983349128
2024,own_strength,SlateOwnLogAudience,week1,0,-0.278545203133656,0.756884053445585
2024,own_strength,Competing_Games_Score,week1,0,-0.0306662770458559,0.9697991633199862
2024,own_strength,SlateOwnLogAudience,week1,1,-0.2564495678463023,0.7737940176742839
2024,own_strength,Competing_Games_Score,week1,1,-0.0297326943043316,0.9707049738403508
2024,leader,SlateOwnLogAudience,regular,0,-0.2686460245493663,0.7644137914801623
2024,leader,SlateLeader,regular,0,0.0165078972038619,1.0166449054064268
2024,leader,CompetitionXLeader,regular,0,-0.0101228858845699,0.9899281780746152
2024,leader,Competing_Games_Score,regular,0,-0.0301178267257496,0.9703311958649216
2024,leader,SlateOwnLogAudience,regular,1,-0.2460628797086617,0.7818730594295501
2024,leader,SlateLeader,regular,1,-0.0149141958135896,0.9851964699580408
2024,leader,CompetitionXLeader,regular,1,-0.0058875285648638,0.9941297689682153
2024,leader,Competing_Games_Score,regular,1,-0.0295037333191695,0.9709272528531028
2024,leader,SlateOwnLogAudience,week1,0,-0.2718055418610139,0.7620024242569277
2024,leader,SlateLeader,week1,0,0.0121300809795527,1.0122039487838317
2024,leader,CompetitionXLeader,week1,0,-0.0090726567725996,0.9909683755932372
2024,leader,Competing_Games_Score,week1,0,-0.0308719459611297,0.9695997262877348
2024,leader,SlateOwnLogAudience,week1,1,-0.2498382344635699,0.778926776388264
2024,leader,SlateLeader,week1,1,-0.0198334689547016,0.9803619204088992
2024,leader,CompetitionXLeader,week1,1,-0.0048170860602803,0.9951944974916564
2024,leader,Competing_Games_Score,week1,1,-0.0302844914491405,0.9701694893603244
2024,share,SlateOwnLogAudience,regular,0,-0.2438625702971528,0.783595316134798
2024,share,SlateAudienceShare,regular,0,0.221122735690833,1.2474765310622629
2024,share,CompetitionXShare,regular,0,-0.061650292682208,0.9402116281927538
2024,share,Competing_Games_Score,regular,0,-0.022919486448954,0.9773411698137534
2024,share,SlateOwnLogAudience,regular,1,-0.1968195123795332,0.821338861432282
2024,share,SlateAudienceShare,regular,1,0.0984575844195728,1.1034675991830614
2024,share,CompetitionXShare,regular,1,-0.0850684749563931,0.9184493914661565
2024,share,Competing_Games_Score,regular,1,-0.0231983951842612,0.9770686188343084
2024,share,SlateOwnLogAudience,week1,0,-0.2597940829083882,0.771210374851726
2024,share,SlateAudienceShare,week1,0,0.2473823158039841,1.280668639055869
2024,share,CompetitionXShare,week1,0,-0.0450673108566775,0.955933134989261
2024,share,Competing_Games_Score,week1,0,-0.0239005015013579,0.9763828535530268
2024,share,SlateOwnLogAudience,week1,1,-0.211966209036796,0.8089920337246835
2024,share,SlateAudienceShare,week1,1,0.1402109234691841,1.1505164441862916
2024,share,CompetitionXShare,week1,1,-0.0722449297035917,0.9303030090639676
2024,share,Competing_Games_Score,week1,1,-0.0238035270689125,0.9764775423172196
2024,stronger,SlateOwnLogAudience,regular,0,-0.2706210377503564,0.762905554035664
2024,stronger,StrongerCompetition,regular,0,0.0049387007059614,1.0049509161895531
2024,stronger,Competing_Games_Score,regular,0,-0.034555302472899,0.9660349140895654
2024,stronger,SlateOwnLogAudience,regular,1,-0.2452640501178353,0.7824978922999585
2024,stronger,StrongerCompetition,regular,1,0.0070255665205981,1.0070503037100569
2024,stronger,Competing_Games_Score,regular,1,-0.0355156420224657,0.9651076378765784
2024,stronger,SlateOwnLogAudience,week1,0,-0.2756813813551911,0.7590547412295202
2024,stronger,StrongerCompetition,week1,0,0.0027750483040719,1.0027789023148144
2024,stronger,Competing_Games_Score,week1,0,-0.0332544221787889,0.9672924276326812
2024,stronger,SlateOwnLogAudience,week1,1,-0.2504226583365206,0.7784716859806645
2024,stronger,StrongerCompetition,week1,1,0.0054560082901773,1.005470919409471
2024,stronger,Competing_Games_Score,week1,1,-0.0347928135298696,0.9658054973616328
2024,leader_only,SlateLeader,regular,0,0.0066373706150886,1.006659446774954
2024,leader_only,CompetitionXLeader,regular,0,-0.0117375217829006,0.9883310942029756
2024,leader_only,Competing_Games_Score,regular,0,-0.0310612815861604,0.969416163895527
2024,leader_only,SlateLeader,regular,1,-0.0225032671086725,0.977748042779008
2024,leader_only,CompetitionXLeader,regular,1,-0.007346645482004,0.9926802751521222
2024,leader_only,Competing_Games_Score,regular,1,-0.0303380590595948,0.9701175210909642
2024,leader_only,SlateLeader,week1,0,0.0024273538414958,1.0024303022499592
2024,leader_only,CompetitionXLeader,week1,0,-0.0107563134764446,0.9893013288054192
2024,leader_only,Competing_Games_Score,week1,0,-0.031819743392927,0.9686811775251296
2024,leader_only,SlateLeader,week1,1,-0.0273257814984088,0.97304419008813
2024,leader_only,CompetitionXLeader,week1,1,-0.0063377554963603,0.9936822857148884
2024,leader_only,Competing_Games_Score,week1,1,-0.0311268640791714,0.9693525892514482
2024,share_only,SlateAudienceShare,regular,0,0.1564829389402318,1.1693908111023286
2024,share_only,CompetitionXShare,regular,0,-0.110716219917325,0.8951927507598167
2024,share_only,Competing_Games_Score,regular,0,-0.0225829963921171,0.9776700907357394
2024,share_only,SlateAudienceShare,regular,1,0.0432314495393714,1.044179541758962
2024,share_only,CompetitionXShare,regular,1,-0.1299625952877718,0.8781282764417485
2024,share_only,Competing_Games_Score,regular,1,-0.0226054650858021,0.9776481240127284
2024,share_only,SlateAudienceShare,week1,0,0.1747875458868114,1.1909931583364062
2024,share_only,CompetitionXShare,week1,0,-0.0999722160271423,0.9048625583634704
2024,share_only,Competing_Games_Score,week1,0,-0.0233528631541523,0.9769177046843138
2024,share_only,SlateAudienceShare,week1,1,0.0785861345918189,1.0817565278064951
2024,share_only,CompetitionXShare,week1,1,-0.1217710196647555,0.8853510732796062
2024,share_only,Competing_Games_Score,week1,1,-0.0231129359809574,0.9771521219080492
2024,stronger_only,StrongerCompetition,regular,0,0.009177879157567,1.0092201250340909
2024,stronger_only,Competing_Games_Score,regular,0,-0.0391838863457645,0.9615738725823384
2024,stronger_only,StrongerCompetition,regular,1,0.0112474826080632,1.011310973354317
2024,stronger_only,Competing_Games_Score,regular,1,-0.0400552301478917,0.9607363760748604
2024,stronger_only,StrongerCompetition,week1,0,0.007221318065436,1.0072474546584094
2024,stronger_only,Competing_Games_Score,week1,0,-0.0380722524437122,0.9626433850414472
2024,stronger_only,StrongerCompetition,week1,1,0.0098654577164635,1.0099142817695674
2024,stronger_only,Competing_Games_Score,week1,1,-0.0395217878071576,0.961249010254374
2025,own_strength,SlateOwnLogAudience,regular,0,-0.1680325895388663,0.8453262854419185
2025,own_strength,Competing_Games_Score,regular,0,-0.0336039384679324,0.9669544022489884
2025,own_strength,SlateOwnLogAudience,regular,1,-0.1441894629991927,0.865723709909564
2025,own_strength,Competing_Games_Score,regular,1,-0.0322676789285107,0.9682473679696764
2025,own_strength,SlateOwnLogAudience,week1,0,-0.1635553561137704,0.8491194937452813
2025,own_strength,Competing_Games_Score,week1,0,-0.0340492703853687,0.9665238824601778
2025,own_strength,SlateOwnLogAudience,week1,1,-0.1407925742238039,0.8686694774521295
2025,own_strength,Competing_Games_Score,week1,1,-0.0328638158194058,0.9676703320074188
2025,leader,SlateOwnLogAudience,regular,0,-0.1597458678080557,0.8523603736545581
2025,leader,SlateLeader,regular,0,-0.0145463143671065,0.9855589721353032
2025,leader,CompetitionXLeader,regular,0,-0.0067943810557606,0.9932286485643486
2025,leader,Competing_Games_Score,regular,0,-0.0341616569125228,0.9664152643013398
2025,leader,SlateOwnLogAudience,regular,1,-0.1368316629432505,0.8721170233889121
2025,leader,SlateLeader,regular,1,-0.0287113137822614,0.9716969394942702
2025,leader,CompetitionXLeader,regular,1,-0.0038623494173159,0.9961450998605372
